Field [mT]	Moment [Am^2]	Fitted Moment [Am^2]
19.99	1.7240e+01	1.7359e+01
19.99	1.7651e+01	1.7354e+01
19.98	1.7517e+01	1.7347e+01
19.98	1.7425e+01	1.7342e+01
19.97	1.7334e+01	1.7331e+01
19.97	1.7291e+01	1.7326e+01
19.96	1.7239e+01	1.7311e+01
19.95	1.7226e+01	1.7304e+01
19.94	1.7156e+01	1.7286e+01
19.94	1.7115e+01	1.7276e+01
19.92	1.7052e+01	1.7255e+01
19.91	1.7016e+01	1.7243e+01
19.90	1.6949e+01	1.7220e+01
19.89	1.6907e+01	1.7205e+01
19.87	1.6854e+01	1.7179e+01
19.86	1.6803e+01	1.7161e+01
19.84	1.6726e+01	1.7134e+01
19.83	1.6682e+01	1.7113e+01
19.81	1.6614e+01	1.7083e+01
19.80	1.6550e+01	1.7060e+01
19.78	1.6473e+01	1.7029e+01
19.76	1.6422e+01	1.7004e+01
19.74	1.6352e+01	1.6970e+01
19.72	1.6296e+01	1.6943e+01
19.70	1.6222e+01	1.6905e+01
19.68	1.6152e+01	1.6876e+01
19.65	1.6068e+01	1.6837e+01
19.63	1.6011e+01	1.6804e+01
19.60	1.5919e+01	1.6761e+01
19.58	1.5857e+01	1.6727e+01
19.55	1.5775e+01	1.6682e+01
19.53	1.5698e+01	1.6646e+01
19.50	1.5606e+01	1.6599e+01
19.47	1.5542e+01	1.6559e+01
19.44	1.5443e+01	1.6510e+01
19.41	1.5363e+01	1.6470e+01
19.38	1.5262e+01	1.6417e+01
19.35	1.5184e+01	1.6371e+01
19.31	1.5076e+01	1.6321e+01
19.28	1.4982e+01	1.6274e+01
19.25	1.4892e+01	1.6220e+01
19.21	1.4799e+01	1.6170e+01
19.18	1.4696e+01	1.6114e+01
19.14	1.4617e+01	1.6063e+01
19.11	1.4513e+01	1.6005e+01
19.07	1.4417e+01	1.5951e+01
19.03	1.4311e+01	1.5891e+01
18.99	1.4221e+01	1.5836e+01
18.95	1.4110e+01	1.5774e+01
18.91	1.4010e+01	1.5716e+01
18.87	1.3898e+01	1.5652e+01
18.83	1.3794e+01	1.5592e+01
18.79	1.3688e+01	1.5527e+01
18.74	1.3574e+01	1.5465e+01
18.70	1.3453e+01	1.5398e+01
18.65	1.3362e+01	1.5334e+01
18.61	1.3253e+01	1.5265e+01
18.56	1.3139e+01	1.5202e+01
18.52	1.3026e+01	1.5135e+01
18.47	1.2913e+01	1.5065e+01
18.42	1.2799e+01	1.4996e+01
18.37	1.2674e+01	1.4924e+01
18.32	1.2572e+01	1.4854e+01
18.27	1.2445e+01	1.4781e+01
18.22	1.2333e+01	1.4710e+01
18.17	1.2212e+01	1.4636e+01
18.11	1.2098e+01	1.4563e+01
18.06	1.1972e+01	1.4488e+01
18.01	1.1857e+01	1.4414e+01
17.95	1.1717e+01	1.4337e+01
17.90	1.1605e+01	1.4262e+01
17.84	1.1475e+01	1.4185e+01
17.78	1.1369e+01	1.4108e+01
17.72	1.1233e+01	1.4031e+01
17.66	1.1110e+01	1.3953e+01
17.61	1.0983e+01	1.3875e+01
17.55	1.0854e+01	1.3797e+01
17.49	1.0725e+01	1.3718e+01
17.42	1.0598e+01	1.3639e+01
17.36	1.0468e+01	1.3560e+01
17.30	1.0343e+01	1.3482e+01
17.24	1.0214e+01	1.3402e+01
17.17	1.0085e+01	1.3322e+01
17.11	9.9444e+00	1.3241e+01
17.04	9.8165e+00	1.3161e+01
16.98	9.6867e+00	1.3080e+01
16.91	9.5552e+00	1.3000e+01
16.84	9.4260e+00	1.2919e+01
16.77	9.2977e+00	1.2839e+01
16.71	9.1556e+00	1.2758e+01
16.64	9.0075e+00	1.2676e+01
16.57	8.8746e+00	1.2595e+01
16.49	8.7496e+00	1.2513e+01
16.42	8.6211e+00	1.2432e+01
16.35	8.4732e+00	1.2350e+01
16.28	8.3322e+00	1.2269e+01
16.21	8.1913e+00	1.2187e+01
16.13	8.0533e+00	1.2106e+01
16.06	7.9351e+00	1.2023e+01
15.98	7.7957e+00	1.1942e+01
15.91	7.6614e+00	1.1859e+01
15.83	7.5166e+00	1.1777e+01
15.75	7.3677e+00	1.1695e+01
15.67	7.2423e+00	1.1613e+01
15.60	7.1032e+00	1.1530e+01
15.52	6.9602e+00	1.1447e+01
15.44	6.8162e+00	1.1364e+01
15.36	6.6855e+00	1.1281e+01
15.28	6.5436e+00	1.1197e+01
15.20	6.4081e+00	1.1115e+01
15.11	6.2711e+00	1.1031e+01
15.03	6.1341e+00	1.0948e+01
14.95	6.0008e+00	1.0863e+01
14.86	5.8696e+00	1.0780e+01
14.78	5.7220e+00	1.0695e+01
14.69	5.5818e+00	1.0611e+01
14.61	5.4428e+00	1.0526e+01
14.52	5.3019e+00	1.0442e+01
14.44	5.1636e+00	1.0356e+01
14.35	5.0356e+00	1.0272e+01
14.26	4.8897e+00	1.0186e+01
14.17	4.7493e+00	1.0101e+01
14.08	4.6196e+00	1.0015e+01
13.99	4.4698e+00	9.9294e+00
13.90	4.3365e+00	9.8435e+00
13.81	4.2041e+00	9.7577e+00
13.72	4.0531e+00	9.6721e+00
13.63	3.9031e+00	9.5849e+00
13.54	3.7770e+00	9.4987e+00
13.45	3.6492e+00	9.4120e+00
13.35	3.5191e+00	9.3260e+00
13.26	3.3807e+00	9.2393e+00
13.16	3.2372e+00	9.1532e+00
13.07	3.0966e+00	9.0666e+00
12.97	2.9561e+00	8.9809e+00
12.88	2.8199e+00	8.8948e+00
12.78	2.6974e+00	8.8098e+00
12.69	2.5703e+00	8.7246e+00
12.59	2.4439e+00	8.6394e+00
12.49	2.3128e+00	8.5538e+00
12.40	2.1773e+00	8.4685e+00
12.30	2.0429e+00	8.3836e+00
12.20	1.9072e+00	8.2978e+00
12.10	1.7808e+00	8.2130e+00
12.00	1.6495e+00	8.1275e+00
11.90	1.5152e+00	8.0435e+00
11.79	1.3813e+00	7.9589e+00
11.69	1.2402e+00	7.8756e+00
11.59	1.1107e+00	7.7914e+00
11.49	9.7922e-01	7.7085e+00
11.39	8.4925e-01	7.6251e+00
11.28	7.3278e-01	7.5421e+00
11.18	6.0259e-01	7.4586e+00
11.08	4.6566e-01	7.3762e+00
10.97	3.4247e-01	7.2929e+00
10.87	2.1775e-01	7.2110e+00
10.76	9.1346e-02	7.1276e+00
10.65	-3.7246e-02	7.0461e+00
10.55	-1.7269e-01	6.9613e+00
10.44	-2.9191e-01	6.8808e+00
10.33	-4.1724e-01	6.7961e+00
10.23	-5.3862e-01	6.7157e+00
10.12	-6.6817e-01	6.6314e+00
10.01	-7.9493e-01	6.5512e+00
9.90	-9.2521e-01	6.4661e+00
9.79	-1.0334e+00	6.3853e+00
9.68	-1.1530e+00	6.2999e+00
9.57	-1.2852e+00	6.2192e+00
9.46	-1.4117e+00	6.1342e+00
9.35	-1.5340e+00	6.0533e+00
9.24	-1.6497e+00	5.9686e+00
9.13	-1.7663e+00	5.8878e+00
9.02	-1.8971e+00	5.8033e+00
8.91	-2.0073e+00	5.7227e+00
8.79	-2.1341e+00	5.6387e+00
8.68	-2.2535e+00	5.5584e+00
8.57	-2.3687e+00	5.4749e+00
8.46	-2.4899e+00	5.3959e+00
